date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:05	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0cb733.d9ec0b25.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0cb733.d9ec0b25.html	(from http://120.26.82.151:8082/)
13:57:05	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0ce7de.8a19c692.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0ce7de.8a19c692.html	(from http://120.26.82.151:8082/)
13:57:05	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0d0645.700f6d17.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0d0645.700f6d17.html	(from http://120.26.82.151:8082/)
13:57:05	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0d0999.11a573f9.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0d0999.11a573f9.html	(from http://120.26.82.151:8082/)
13:57:05	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0d09f7.ec1bc29b.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0d09f7.ec1bc29b.html	(from http://120.26.82.151:8082/)
13:57:06	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0d6d34.30eb59ab.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0d6d34.30eb59ab.html	(from http://120.26.82.151:8082/)
13:57:06	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0d7676.a0749a54.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0d7676.a0749a54.html	(from http://120.26.82.151:8082/)
13:57:06	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0dd7b1.8f3a7b12.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0dd7b1.8f3a7b12.html	(from http://120.26.82.151:8082/)
13:57:06	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0dd86d.ed77e84a.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0dd86d.ed77e84a.html	(from http://120.26.82.151:8082/)
13:57:06	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0de8a5.896b8e62.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0de8a5.896b8e62.html	(from http://120.26.82.151:8082/)
13:57:07	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0dea96.50c3d234.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0dea96.50c3d234.html	(from http://120.26.82.151:8082/)
13:57:07	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0deeee.dfe622a5.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0deeee.dfe622a5.html	(from http://120.26.82.151:8082/)
13:57:07	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e1382.b5352a9f.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e1382.b5352a9f.html	(from http://120.26.82.151:8082/)
13:57:07	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e13f3.c7c2cf22.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e13f3.c7c2cf22.html	(from http://120.26.82.151:8082/)
13:57:08	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e4e62.6bc57819.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e4e62.6bc57819.html	(from http://120.26.82.151:8082/)
13:57:08	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e5ed9.bfc79bb4.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e5ed9.bfc79bb4.html	(from http://120.26.82.151:8082/)
13:57:08	8394/8394	---MCZ	200	added ('OK')	text/html	etag:W/%2261860c63-20ca%22	https://smaco2.uestc.edu.cn/js/chunk-2d0e634e.42a9f684.js	D:/sitecopy/Pass/smaco2.uestc.edu.cn/js/chunk-2d0e634e.42a9f684.html	(from http://120.26.82.151:8082/)
